player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,match_date,jersey_number,position,team_name,is_starting,substitute_time,total_playing_time,total_match_time
STONES JOHN,10595.4,4279.5,3765.6,1775.8,663.3,110.2,148.0,49.0,27.5,2022-11-21,5.0,DF,England,True,0.0,90.0,90.0
MAGUIRE HARRY,7329.5,2874.6,3288.8,831.2,297.6,38.1,76.0,23.0,28.1,2022-11-21,6.0,DF,England,True,70.0,70.0,90.0
KANE HARRY,8324.2,3114.9,3924.8,919.0,327.1,37.5,75.0,25.0,27.3,2022-11-21,9.0,FW,England,True,76.0,76.0,90.0
STERLING RAHEEM,7708.4,3347.0,2786.6,778.5,655.2,141.1,76.0,48.0,32.0,2022-11-21,10.0,FW,England,True,71.0,71.0,90.0
TRIPPIER KIERAN,11517.2,4087.4,5028.4,1349.8,738.3,312.1,122.0,53.0,30.2,2022-11-21,12.0,DF,England,True,0.0,90.0,90.0
SAKA BUKAYO,7892.6,3115.2,2814.5,1263.6,490.9,208.4,112.0,42.0,31.6,2022-11-21,17.0,FW,England,True,62.0,62.0,90.0
MOUNT MASON,8437.9,2855.4,3328.7,1307.0,701.2,245.5,102.0,55.0,32.1,2022-11-21,19.0,MF,England,True,71.0,71.0,90.0
BELLINGHAM JUDE,11461.0,4293.3,4198.2,1839.5,859.6,270.5,172.0,60.0,30.2,2022-11-21,22.0,MF,England,True,35.0,35.0,90.0
GREALISH JACK,3320.1,1141.8,1276.2,523.9,280.2,98.3,35.0,20.0,32.1,2022-11-21,7.0,FW,England,False,90.0,0.0,90.0
RASHFORD MARCUS,3324.3,1110.7,1504.3,337.8,231.0,140.6,35.0,19.0,32.5,2022-11-21,11.0,FW,England,False,71.0,19.0,90.0
DIER ERIC,3078.1,1123.8,1317.1,410.6,187.5,38.8,31.0,14.0,30.9,2022-11-21,15.0,DF,England,False,70.0,20.0,90.0
FODEN PHIL,3882.4,1108.4,1694.3,687.2,242.3,150.6,61.0,21.0,33.6,2022-11-21,20.0,MF,England,False,71.0,19.0,90.0
WILSON CALUM,2775.8,1007.3,1072.3,301.7,220.4,174.3,33.0,16.0,31.9,2022-11-21,0.0,0,0,0,0.0,0.0,0.0
MENDY EDOUARD,4997.6,3788.7,1043.0,149.4,16.5,0.0,19.0,2.0,22.4,2022-12-04,16.0,GK,Senegal,True,0.0,90.0,90.0
KOULIBALY KALIDOU,8860.4,4020.9,3045.3,1191.7,469.6,133.8,100.0,36.0,30.7,2022-12-04,3.0,DF,Senegal,True,0.0,90.0,90.0
MENDY NAMPALYS,11818.5,3215.8,5467.2,2429.9,615.7,88.6,195.0,48.0,31.4,2022-12-04,4.0,MF,Senegal,True,0.0,90.0,90.0
DIA BOULAYE,8592.9,2633.7,4045.5,1185.8,521.6,205.4,113.0,44.0,32.9,2022-12-04,9.0,FW,Senegal,True,72.0,72.0,90.0
CISS PATHE,4919.9,1883.3,2146.5,583.5,241.6,64.9,58.0,22.0,30.6,2022-12-04,11.0,MF,Senegal,True,46.0,46.0,90.0
NDIAYE ILIMAN,5447.2,1907.1,2273.7,726.7,356.8,183.0,74.0,33.0,33.5,2022-12-04,13.0,FW,Senegal,True,46.0,46.0,90.0
JAKOBS ISMAIL,9227.2,2995.1,3969.5,1171.9,707.7,382.9,114.0,64.0,34.6,2022-12-04,14.0,DF,Senegal,True,84.0,84.0,90.0
DIATTA KREPIN,5342.8,1734.8,2369.5,684.4,397.5,156.5,73.0,32.0,34.9,2022-12-04,15.0,DF,Senegal,True,46.0,46.0,90.0
SARR ISMAILA,10902.2,3809.2,4718.5,1182.9,793.7,397.9,114.0,65.0,35.2,2022-12-04,18.0,FW,Senegal,True,0.0,90.0,90.0
SABALY YOUSSOUF,10283.0,3184.7,4501.9,1578.4,791.8,226.2,143.0,61.0,31.9,2022-12-04,22.0,DF,Senegal,True,0.0,90.0,90.0
DIALLO ABDOU,8875.8,3422.5,4069.5,929.3,381.7,73.7,76.0,27.0,32.7,2022-12-04,8.0,DF,Senegal,True,0.0,90.0,90.0
BALLO-TOURE FODE,1106.2,420.3,386.7,146.1,123.7,29.3,13.0,10.0,28.9,2022-12-04,12.0,DF,Senegal,False,46.0,44.0,90.0
SARR PAPE MATAR,5949.3,1575.4,2986.0,950.1,376.0,61.9,74.0,33.0,30.3,2022-12-04,17.0,MF,Senegal,False,46.0,44.0,90.0
DIEDHIOU FAMARA,2464.4,859.8,987.7,410.8,196.7,9.4,28.0,14.0,27.5,2022-12-04,20.0,FW,Senegal,False,72.0,18.0,90.0
DIENG BAMBA,5052.6,1640.1,2337.3,676.0,341.6,57.6,58.0,29.0,29.8,2022-12-04,21.0,FW,Senegal,False,46.0,44.0,90.0
GUEYE PAPE,6041.6,1618.5,2907.8,992.6,506.3,16.3,83.0,33.0,27.0,2022-12-04,26.0,DF,Senegal,False,0.0,0.0,90.0
PICKFORD JORDAN,5483.8,3716.3,1532.2,173.8,41.7,19.2,20.0,7.0,26.6,2022-12-04,1.0,GK,England,True,0.0,90.0,90.0
WALKER KYLE,9830.2,4073.6,4128.7,929.9,525.9,172.0,92.0,40.0,34.4,2022-12-04,2.0,DF,England,True,0.0,90.0,90.0
SHAW LUKE,10462.5,3828.2,4446.6,1168.7,725.1,294.0,120.0,56.0,32.1,2022-12-04,3.0,DF,England,True,0.0,90.0,90.0
RICE DECLAN,12061.2,3115.4,5922.0,2150.5,730.9,142.3,179.0,62.0,31.2,2022-12-04,4.0,MF,England,True,77.0,77.0,90.0
STONES JOHN,7950.9,2947.4,3735.3,915.9,282.3,70.8,83.0,27.0,31.1,2022-12-04,5.0,DF,England,True,0.0,90.0,90.0
MAGUIRE HARRY,9556.5,3823.6,4271.8,1086.6,330.7,44.0,109.0,31.0,29.0,2022-12-04,6.0,DF,England,True,0.0,90.0,90.0
HENDERSON JORDAN,9918.6,3291.0,4154.9,1505.6,653.6,312.4,139.0,55.0,30.7,2022-12-04,8.0,MF,England,True,82.0,82.0,90.0
KANE HARRY,10804.3,3779.3,5145.0,1272.7,534.8,72.4,104.0,37.0,29.6,2022-12-04,9.0,FW,England,True,45.0,45.0,90.0
SAKA BUKAYO,7449.2,2634.0,2822.5,1098.0,545.3,350.1,102.0,52.0,33.2,2022-12-04,17.0,FW,England,True,65.0,65.0,90.0
FODEN PHIL,8093.5,2661.1,3376.6,1133.1,562.5,360.2,106.0,46.0,32.6,2022-12-04,20.0,MF,England,True,65.0,65.0,90.0
BELLINGHAM JUDE,9106.0,3262.7,3444.8,1406.0,697.5,295.9,125.0,61.0,32.7,2022-12-04,22.0,MF,England,True,76.0,76.0,90.0
GREALISH JACK,3292.6,1013.8,1494.5,451.7,325.6,6.9,45.0,24.0,28.6,2022-12-04,7.0,FW,England,False,65.0,25.0,90.0
